foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Robert Stock Ag,Germany,2019,Germany,DEU,Robert Stock Ag,9886_DEU,0.0,0,9886_DEU
Hangzhiou Sed Imp. Exp.,China,2020,China,CHN,Hangzhiou Sed Imp Exp,CHN_1258,84.0,1,
Nidec Asi Sp A,Italy,2019,Italy,ITA,Nidec Asi Sp A,5736_ITA,0.0,0,5736_ITA
Attn Lina Kamar Avtrade Global Headquarters,United Kingdom,2019,United Kingdom,GBR,Attn Lina Kamar Avtrade Global Headquarters,2215_GBR,0.0,0,2215_GBR
Shenzhen Wanlihui Trading,China,2019,China,CHN,Shenzhen Wanlihui Trading,CHN_1259,88.0,1,
All Metal Services Bolton,United Kingdom,2021,United Kingdom,GBR,All Metal Services Bolton,CHN_1260,,1,
Wuerth America International,United States,2021,United States,USA,Wuerth America International,CHN_1261,,1,
Octa Intertrade,Thailand,2020,Thailand,THA,Octa Intertrade,CHN_1262,83.0,1,
Ka Networks,South Korea,2021,,,Ka Networks,CHN_1263,,1,
Pyramid Technologies,United States,2021,United States,USA,Pyramid Technologies,20066_USA,,0,20066_USA
Mga Controls Ltd.,United Kingdom,2019,United Kingdom,GBR,Mga Controls Ltd,3933_GBR,0.0,0,3933_GBR
China Tobacco Shandong Imp. Exp.,China,2020,China,CHN,China Tobacco Shandong Imp Exp,4869_CHN,0.0,0,4869_CHN
Tech Data,United States,2020,United States,USA,Tech Data,25708_USA,0.0,0,25708_USA
Haas Mondomix Bv,Netherlands,2021,Netherlands,NLD,Haas Mondomix Bv,844_NLD,,0,844_NLD
Guan Yu Machinery Factory,Taiwan,2021,Taiwan,TWN,Guan Yu Machinery Factory,CHN_1264,,1,
Shijiazhuang Gouzuo Business Trade,China,2020,China,CHN,Shijiazhuang Gouzuo Business Trade,CHN_1265,97.0,1,
Nnz Gmb H,Germany,2019,Germany,DEU,Nnz Gmb H,1204_NLD,0.0,0,1204_NLD
Kamisu City Ibaraki,Japan,2019,Japan,JPN,Kamisu City Ibaraki,6554_JPN,0.0,0,6554_JPN
